id,title,url,evidenceClass,status
R22,"Voice Training and Therapy With a Semi-Occluded Vocal Tract. Titze, PubMed. 학술",https://pubmed.ncbi.nlm.nih.gov/16671856/,M,spot_checked_v15
R23,"A Randomized Controlled Trial of Two Semi-Occluded Vocal Tract Voice Therapy Protocols. Kapsner-Smith et al., PMC. 학술",https://pmc.ncbi.nlm.nih.gov/articles/PMC4610291/,C,spot_checked_v15
R24,"Assessing Voice Health Using Smartphones. Jannetts et al., PubMed. 학술",https://pubmed.ncbi.nlm.nih.gov/30779425/,M,spot_checked_v15
R25,"Cepstral Peak Prominence: A More Reliable Measure of Dysphonia. Heman-Ackah et al., PubMed. 학술",https://pubmed.ncbi.nlm.nih.gov/12731627/,M,imported_pending_full_recheck
R26,How the Vocal Tract Filters Sound. National Center for Voice and Speech. 교육/학술,https://ncvs.org/tutorials/how-the-vocal-tract-filters-sound/,M,imported_pending_full_recheck
R27,"Modeling source-filter interaction in belting and high-pitched operatic male singing. Titze & Worley, JASA/PMC. 학술",https://pmc.ncbi.nlm.nih.gov/articles/PMC2757425/,M,spot_checked_v16
R28,"The Vocal Tract in Loud Twang-Like Singing While Producing High and Low Pitches. Saldías et al., Journal of Voice/PubMed. 학술",https://pubmed.ncbi.nlm.nih.gov/32305174/,S,spot_checked_v16
R29,Motor Learning Principles and Singing Pedagogy. NATS Journal of Singing. 학술/전문,https://www.nats.org/_Library/JOS_On_Point/JOS_077_5_2021_693.pdf,M,spot_checked_v15
R30,Vocal learning and auditory feedback. Scientific Reports/Nature. 학술,https://www.nature.com/articles/s41598-022-24262-x,M,spot_checked_v16
R31,"K-POP시대의 새로운 실용음악 보컬 교육 개념에 대한 제안. 오한승, KAIS, 2023. 학술",https://www.kais99.org/jkais/journal/Vol24No09/vol24no09p31.pdf,M,imported_pending_full_recheck
R32,실용보컬 기초발성과 호흡 훈련의 실기교육 사례 연구. 한국 연구자료. 학술,https://scholar.kyobobook.co.kr/article/detail/4010068580099,M,imported_pending_full_recheck
R33,K-Pop Vocal Training Syllabus. Hanyang ERICA Summer School. 공식/교육,https://ericasummer.hanyang.ac.kr/documents/10984638/168811307/HESS2025%2BSyllabus_K-Pop%2BVocal%2BTraining_2%2BCredit.pdf/ecbd8011-fcea-aae5-fa2e-0cc24a306326?download=true&t=1749027995586,P,imported_pending_full_recheck
R34,"Prevalence of Voice Disorders in Singers: Systematic Review and Meta-Analysis. Pestana et al., PubMed. 학술",https://pubmed.ncbi.nlm.nih.gov/28342677/,S,spot_checked_v15
R35,"Articulatory interpretation of the singing formant. Sundberg, JASA/PubMed. 학술",https://pubmed.ncbi.nlm.nih.gov/4833080/,S,imported_pending_full_recheck
R36,"Formant tuning in a professional baritone. Miller & Schutte, Journal of Voice. 학술",https://www.jvoice.org/article/S0892-1997%2805%2980018-9/pdf,S,imported_pending_full_recheck
R37,MM Vocal Pedagogy. Boston Conservatory at Berklee. 공식,https://bostonconservatory.berklee.edu/vocal-pedagogy/mm-vocal-pedagogy,P,imported_pending_full_recheck
R38,Voice Department. New England Conservatory. 공식,https://necmusic.edu/the-college/departments/voice/,P,imported_pending_full_recheck
R39,Voice & Opera. Mannes School of Music / The New School. 공식,https://www.newschool.edu/mannes/voice-opera/,P,imported_pending_full_recheck
